text,Airline,name,"retweet_count",sentiment,"tweet_location"
" thanks for making an effort. Credit where credit is due: flight 795 delayed 5 hours instead of 8 hours.  fwiw  loweredexpectations",jetblue,badcookieadvice,0,,
" this is enough for me to stop flying JetBlue.",jetblue,rynblck,0,,"New York City"
" thx for confirming! Again. yr team is awesome. Thanks for the prompt & helpful response! Cheers to less snow in everyone's future",jetblue,unverkate,0,,PHL
" yes and not boarding at 6:44. Good luck with that. Push wheels up to reality.  Dare you.",jetblue,noplasticshower,0,,"planet earth"
" yes. Filed a claim and they issued $30 credit as a courtesy. The whole thing seems exceptionally uncourteous to me.",jetblue,andrewdobos,0,,"Boston MA USA"
"  I finally hung up after 2 hours and was not able to get the flight I needed.  stuckintampa 😞",southwestair,cleordz,0,,"Washington. DC/Austin. Texas"
" 3 days & still not home. Not even off the ground. 3. Days.  PastMyPatienceExpirationDate",southwestair,LauraGina,0,,"Beaufort. South Carolina"
" I appreciate that. and not to be rude. but it doesn't solve much. You should AT LEAST cover the cost of stolen goods.",southwestair,"TStorm_Warning",0,,"Austin. TX"
" I will if you can see about moving up my Brother in laws graduation to the 6th.  Thanks.",southwestair,jscherms,0,,
" Thx for the follow up. Just sent DM",southwestair,bashomosko,0,,"boulder. co"
" Well. we all need something to aim for.",southwestair,cjkoluch,0,,"Baltimore. MD"
" Yes. total of 4 hours on hold. With all the Cancelled Flightlations. one would think there would be more staff. Decided to cx and drive",southwestair,RyanDuncanPT,0,,"St. Louis. MO"
" glad you appreciate it. it’ll be the last dollar you ever get from me thanks to your wretched customer service",southwestair,zarrylarou,0,,NY
" received an error online and have been on hold for over 1.5 hours. Completely unacceptable.",southwestair,jmwait,0,,
" she needs a wheelchair at the gate for sure. What options does she have?",southwestair,brittanylinnes,0,,"New York. NY"
" thx for the note. Flight was Cancelled Flightled and today is all booked so had to go with another carrier. :(",southwestair,bashomosko,0,,"boulder. co"
" you've got a mess here at DTW but your staff is doing great.",southwestair,andicrawford,0,,Michigan
" 2nd time this occurred in 3 weeks. I'm not patient. I have no choice.   Antitrust issue",usairways,kvetcher,0,,"Major metro area. USA"
" Can't book a flight online or over the phone. Your customer service is usually great -- anything you can do to help?",usairways,jhughes1025,0,,"Washington DC"
" Have you just given up?",usairways,mitchsunderland,0,,"Florida Raised. NYC Based"
" I did but the more eyes I have looking for Pandu the better chance I have of bringing him home.",usairways,RyanDrinks42,2,,"Just outside of Thunder Dome"
" I guess from now on I should take my chances & keep the $50 for the courtesy free because it seems cabin is always full.",usairways,ochsfamily,0,,Midwest
" I rebooked myself - but Cancelled Flighting flight because crew expired after boarding is unacceptable. You started delaying at 1:30pm.",usairways,joyousb,0,,
" It was this saturday during all the snow in the DC area.  Excited the flight was not Cancelled Flightled but sad he went missing.",usairways,RyanDrinks42,2,,"Just outside of Thunder Dome"
" You'll be receiving a long & detailed complaint letter soon. Long story short: never flying USAir again.",usairways,KarileeD,0,,"New Hampshire"
" and then you said I could move my Thursday flight for free if I CALL A NUMBER. And then you HANG UP ON ME.",usairways,mitchsunderland,1,,"Florida Raised. NYC Based"
" thanks!",usairways,AndrwM,0,,"Greenville. SC"
" trying to get a partner PNR. and have spent more than 1 hour on hold.  I know its snowing somewhere. but this is awful",usairways,bta7,0,,"Wauwatosa. WI"
" we have no choice but to pay another $50 to go to the airport in the hopes that we will be treated better by a rep.",usairways,MarkKersten,0,,"London. UK"
" we r rebooked. got conflicting info abt baggage. Y no extra plane batteries on hand? Y no comped admirals club for 9 hr wait?",usairways,ElaineLibrarian,0,,"Albany. NY"
" worst experience of all time. Will never. ever. ever travel with you again. EVER",usairways,TMadCLE,0,,"Cleveland. OH"
" I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.",virginamerica,khartline,0,,"Las Vegas"
" I heard he has a virgin mobile hotspot :)",virginamerica,EnonThaPhenom,0,,"Oakland. Ca"
" If only you guys were starting those flights at the end of the month! Guess I’m still road tripping on Feb 27…",virginamerica,nschneble,0,,
" They were very understanding and helped me out.  Thx!  Comps",virginamerica,JayRockerz,0,,"39.149054.  -77.273589"
" does that mean you don't have a policy for destroyed luggage?",virginamerica,khartline,0,,"Las Vegas"
" not only was it great. but you return my calls the day after. Couldn't ask for more.  myVXexperience",virginamerica,BrandonS002,0,,"New York City"
" Don't post a link to an article that verifies the initial complaint with 20+ comments saying the same thing. ",united,grgortiz,0,,"Salt Lake City. UT"
" For those playing along at home: http://t.co/2b4bDTldX2",united,davedittrich,0,,
" I appreciate you looking. Can you compensate me on anything for my troubles? Still haven't taken off for a 10:30 am flight",united,ssapol5722,0,,"New Jersey"
" I think not. I'm not flying you again. if I can help it.",united,tunkuv,0,,"New York"
" I took a screenshot and emailed it to myself. Let's DM and figure this out.",united,iamlaurencard,0,,"Aliso Viejo. CA"
" I wouldn't describe feces sprinkled in your bathroom as an inconvenience. To help. you might find my baggage you lost & return it.",united,MaxAbrahms,0,,"Boston. MA"
" It's worth saying that. if you litter in Singapore. you get caned. ""But there are rules"" says ",united,bretlonder,0,,"San Diego. CA"
" Let us know when you find everyone's luggage. Thanks.  UnitedAirlines",united,getpatrick,1,,"Montreal. Quebec CA"
" Nope - had to rebook through Houston so I could get to Amarillo before 11pm. Stuck in SFO for four hours.",united,josephpwilson,0,,"San Francisco. CA"
" Not what's been shared by the pilot with passengers!",united,SAlhir,0,,
" Our newest delay. right now http://t.co/96fTLZWtvO",united,"moss_jas",0,,
" Really? Was bumped down from Gold status. asked to pay $$ to keep it. and get fewer miles... How is that worth it?",united,davedittrich,0,,
" Thanks. Hopefully this is easily resolved.",united,zachkpearson,0,,"Portland. Oregon"
" This flight attendant was extremely helpful to a woman who had a hard time walking. Very touching!",united,jayasherguy,1,,
" Will breaking them in somehow make them longer so that they don't cut off the circulation in my legs?  unfriendlyskies",united,harris,0,,NYC
" You may ""dislike delays"" but I paid you .We had an agreement that I paid you and you got me to my destination at a certain time.",united,crog,0,,
" Your airline is again rated the WORST in America so you've got your work cut out for you. It's bc you treat customers like garbage.",united,MaxAbrahms,3,,"Boston. MA"
" all other ANA ticket holders get to use the lounge. too. But not us. Because United booked us.  grumpykim",united,reccewife,0,,"Kingston. Canada"
" being delayed 3 hours for a one hour flight is more than frustrating. I'm also unable to get a decent meal at this hour.Never again",united,AnnabelleBlume,0,,"Los Angeles. CA"
" board customers onto a plane with no pilot? The only thing that expedited was my time in line to book a new flight. Come on now.",united,SeanLansing,0,,"Arlington. VA"
" call my work and tell them it's your fault I'm Late Flight",united,wackydunks,0,,"grand rapids. michigan"
" in the future when delay causes 15 hour wait (slept night in airport) ensuring seating choice for replacement flight would be good.",united,reccewife,0,,"Kingston. Canada"
" it will be because I'm moving to  because of  talk. no service",americanair,growingpangs,0,,"Chicago. IL"
" just curious why you'd board a flight without a pilot. Seems crucial to the flight process. no?",united,SeanLansing,0,,"Arlington. VA"
" nothing apparently. I've flown w/ you 4 times in last 3 weeks and 3 of those experiences (incl today) were clusterfucks.",united,"kat_volk",0,,"Tucson. AZ and Vancouver. BC"
" thanks for the reply. I saw that but it's not particularly helpful to a hungry vegetarian not flying those specific flights. SHRUG.",united,JeremyHuts,0,,"Boston. MA"
" too much info to share via tweet. Please send me your name and contact info. Happy to supply you with images and CS rep names.",united,iamlaurencard,1,,"Aliso Viejo. CA"
" we rebooked. But  and I had to split up and take different flights because a pilot ran out of hours? Frustrating.",united,SeanHerwaldt,0,,"Kanasa City"
" what link? Those are all the email offers u sent me in a year to buy/transfer miles.The last 1 just expired http://t.co/ZZPs5ywVE2",united,NozzeOro,0,,Italy
" you should really have that addressed somewhere on the website. find that completely irritating & am unable to take my flight now.",united,RoyHalimMusic,0,,"CT • MINDLESS EP ON SALE! ⬇️"
": Just landed. A day Late Flight with almost no sleep. but here. I feel sorry for the woman I consoled who's mother died during the night.",united,sheldoncharron,0,,"Los Angeles & Vancouver"
".Thnx for the response  bot. It seems this 'improvement' could be easily attained. Is your 1st Class service really only worth $50?",united,"brooklyn_dodger",0,,Brooklyn
0,0,"Pride_MMA",,Neutral,
"1/2  Just be honest with your customers. The new seats are designed to fit more rows on the plane. More rows = more money.",united,harris,0,,NYC
"2/2  You don't really care about our comfort. you care about profitability. That's fine. just own up to it.  unfriendlyskies",united,harris,0,,NYC
"5 hour delay = shortly?“:  Brendan. we are so sorry to keep you waiting. We'll have you in the air shortly!^RS”",southwestair,brendanpshannon,0,,"here there many wheres"
":( RT : Our fleet's on fleek. http://t.co/ncguZDgDaQ",jetblue,NellyyMichelle,0,,"Where there is love.."
" just so you know who to complain to :-) RT : Reminder: From 2/28. we’ll be tweeting from .",usairways,AdamJEstep,0,,Harrisburg
"",americanair,jacquelinewins6,0,,
"   What is that!? Why even bother catering dog food that no one will eat ? http://t.co/iFESPcBzTm",americanair,Aero0729,0,,
"   You neglected to mention the $200 fee per ticket.  I had a medical reason and still have had to jump thru hoops.",americanair,ronrisman,0,,"New England"
"  2 hours to be answered on a call?",americanair,juliezeier,0,,
"  2/2 You took cost for both flights out of my bank account. Now I can't get a refund for 2 weeks? I have been a loyal customer.",americanair,MaryHan28,0,,
"  800 number will not even let you wait for next customer rep. Very frustrating. Can't talk to humans.",americanair,LBernieMeyer,0,,
"    — Y'all will like this one. http://t.co/hF8aJZ4ffl",americanair,bradleywilson09,0,,"Wichita Falls. Texas"
"  A true  AmericanView ...The National Mall http://t.co/N7ExdbcRHg",americanair,klebovitz,0,,
"  CXL flight. rebooked 2 PAX no problems. Thank you and everyone at AA for helping us all out!",americanair,2lnr,0,,Texas
"  Dear American. when did 2 hour hold times become the industry standard?  Have you heard of additional staffing during weather?",americanair,tomrquicksell,0,,"Tampa. Fl"
"  Did you guys just give up helping people? Your phone tree just hangs up on me and I have a flight tomorrow. Connection pending",americanair,MindWarpLLC,0,,"El Paso. TX"
"  I have still not talked to anyone. You guys should be prepared for these situations. How is this good service? I am so mad!!!",americanair,JanssenMA,0,,
"  I was told it would be emailed to me. but I haven't received anything yet. How can I follow-up?",americanair,"_rtuck",0,,
"  MY FLIGHT  2962 OUT OF CLL @ 0600 WON'T LET ME CHECK IN. PLEASE HELP.  IMPORTANTFLIGHT",americanair,kathtrn,0,,
"  Mad love http://t.co/4ojrSDWPkK NYC-",americanair,HybridMovementC,0,,"everywhere. all the time."
"  TPA - ORD!!! AA1679 Another successful journey. thanks for the hospitality!",americanair,WanderLustErin,0,,Chicago
"  They said it works 80-90% of the time. DFW security entrance C26. Before/after pre-check. whereas I paid for the service.",americanair,VanekSue,0,,
"  To add. I have to get up to go to work tomorrow am.  I don't like having to wait up until 12 or Late Flightr.  CS sucks.",americanair,PhotosBySharon,0,,Massachusetts
"  Yes I do bit you don't follow me so I can't DM you",americanair,ToxicLayge,0,,
"  You can't get us to Cincy but our luggage will still go there tonight? Stranded us in Dallas for 2 days w/o clothes?  Yousuck",americanair,cbratch67,0,,
"  and I forgot about that lounge!😂",americanair,"The_Playmaker20",0,,
"  beyond frustrated with no call back from auto hold or whatever you call it. Entered my number at 11:30 CST. still no call 2:26",americanair,ColourBasis,0,,"National. based in Texas"
"  flight from DFW to LIT tomorrow has been Cancelled Flightled.  What do I do next?  Pls advise.   HELP",americanair,jaxtonypiper,0,,Arkansas
"  flight to dca I need to change asap help can't get through",americanair,"Bardi_toto",0,,"Hawaii/Dallas/Tucson/LA"
"  having trouble getting rebooked",americanair,gregnbev,0,,"midlothian. tx"
"  help. Flight to Dallas was Cancelled Flightled this morning from cle. on hold for  3 hours. Need to be booked on next flight out.",americanair,CPalcisco,0,,
"  hung up on now many times trying to cal 8004337300 crazy",americanair,juliezeier,0,,
"  is the worst airline to ever travel with!!!! The worst!! They're equivalent to DIRT!!!!!!",americanair,Africanbeauteee,0,,
"  it's not cool that my flight was Cancelled Flightled after sitting on the plane for over an hour. 👎😡✈️  notahappycustomer  leavingtomm",americanair,HeatPrincess305,0,,"MIA || CHI || NYC"
"  many have missed connections already b/c of delayed flight which will finally board soon",americanair,jddowsett,0,,"PA. NY & HI"
"  my fly is 1579  if do you have some news",americanair,fverver,0,,"Leon. De los aldamas"
"  oh no she left the counter and went downstairs.  Then she told Elise an agent that joined her not to come over to counter.",americanair,CamaroGuySteve,0,,
"  please call us back to rebook!!! 7403607771. We need to get back to Columbus!!!!!! Please help",americanair,SentieriMelinda,0,,
"  so far all I am getting is ""maybe your bag will come today. We don't know."" Website says ""status unknown""- can you help?",americanair,Eleonora7,0,,"New York. NY"
"  terrible response! How about someone picking up the phone and calling me...It is now 49 Hours with no luggage",americanair,LeslieWolfson,0,,"Miami Beach"
"  thanks for making the worst fly experience ever. Will never book again with your airline. Train your flight attendants better.",americanair,msolor,0,,"Newark NJ"
"  thanks hoping that by wed I can get back to DFW",americanair,sfty1intx,0,,
"  that's what I am hoping for",americanair,sfty1intx,0,,
"  ugh Dump us in dfw w/no luggage then Cancelled Flight our flight 3 more times. Sat arrival now Tue?",americanair,"tim_sheehy",0,,"Washington DC"
"  upon entering plane to 2  stewardesses: ""can I have some water?"" ""no we don't do that. please take your seat""",usairways,MeeestarCoke,0,,BK
"  we are going to the police dept due to the sexual assult that your stewardess allowed to occur and your lack of concern",americanair,weezerandburnie,0,,"Belle MO"
"  when do you anticipate decisions for Cancelled Flightlations at DFW tomorrow morning? Need to rearrange hotel reservations. etc. ASAP!",americanair,nekMom,0,,
"  you have now lost my luggage for40 hours holding for4 hrs on phone  wtf is this how you treat your loyal passengers? stranded",americanair,LeslieWolfson,0,,"Miami Beach"
"  your customer service is deplorable. I am disgusted in your company and the ignorant people on the phones for lost baggage.",americanair,pattiylandry,1,,
"  zoom in on the sauce and potatoes.  This stuff is vile.  And I mean vile. http://t.co/m2PHoavRxC",americanair,Aero0729,0,,
" ""Airport snow removal method  22...""",americanair,sundialtours,0,,
" ""Thank you for contacting American. The email address you have written to is an unmonitored account”",americanair,ianbeyer,0,,"Wichita. Kansas"
" ""We'll drop off your luggage 24 hours after your flight"" is ridiculous.",americanair,wwkeyboard,0,,"Urbana. IL"
" ""bag has not yet been located"". Again. 5th time I've checked it. How can tracking my bag be this hard for your system?",americanair,"MikeThomas_Says",0,,DC
" ""overweight"" flight = you sold more tickets than you had seats. We all know that. Let's call it what it is.",americanair,"cd_mcfadden",0,,"Birmingham. AL"
" ""sorry you were disappointed""  outoftouchwithreality  people have kids and jobs",americanair,"shelia_talia",0,,
"  2298. Everyone else  was outstanding.",americanair,"Lauren_Nann",0,,"Harrison. New York"
"  AATeam thanks for working in very rigorous weather conditions for all",americanair,jjqb1,0,,
"  AmericanAirlines 1 1/2 hr wait for bags. If this is the a taste of the worlds largest airline. heaven help aviation",americanair,TheLoveBite,0,,"Los Angeles. CA"
"  AmericanAirlines on approach to mex.... http://t.co/se57dmjHiW",americanair,mmalarkey,0,,"Washington. D.C."
"  AmericanAirlines says most bags left in Miami have been returned following mechanical glitch &gt:&gt: http://t.co/Ib8kyjBCJM",americanair,alas3k,0,,"ÜT: 26.72488.-80.13666"
"  AmericanView",americanair,Vaomatua,0,,
"  AmericanView Sweet Home Chicago http://t.co/J6icLV8DTs",americanair,jwein7,0,,"Windy City"
"  americanview New paint scheme looks great!  usairways http://t.co/Gt6umHbh43",americanair,ljhillmanphotos,0,,USA
"  customerservice. Sitting on my fourth plane today with a mechanical problem. No excuses for this. Tough to be loyal.",americanair,louprice13,0,,Chicago
"  epicfail on connections in  Chicago today. extremely disappointed w/ unaccommodating customer service. rethinking loyalty 😐",americanair,jetsetterprob,0,,"Brooklyn to Across the Globe"
"  flight293 was supposed to depart at 745 and at 815 we still have not boarded.",americanair,agoldenbrown,0,,NYCATL
"  horriblecustomerservice   rudestaff   incompetentmanagers",americanair,AlessandroDToro,0,,"Los Angeles"
"  last  flight  ever on  AA. You botched this weather delay to the point of absurdity. I'd pay more to fly ",americanair,jongann,0,,"iPhone: 38.961334.-77.006119"
"  oaaret is our flight Cancelled Flightled?",americanair,takingthekids,0,,"New England"
"  worstcustservice you should have contingency plans for extra workers during bad weather. 4+ hours hold  ridiculous",americanair,harshdouble,0,,
" $600 Late Flightr. 2 complete itinerary changes. and lost work and time. but yeah ""I"" got it rebooked",americanair,GarrettBogar,0,,
" $90 dollar RT ticket to Chicago? Yes. Please!",americanair,MuseAMohamed,0,,"N 44°0' 0'' / W 92°25' 0''"
" & if that wasn't enough. your staff have been so rude & ignored passengers.don't think that should be accepted whatever reason",americanair,"Jess_JCW",0,,London
" 's computer systems are down. can't leave without a flight plan! Any ETA. American air?",americanair,quadbaconHD,0,,"Jacksonville Beach. Florida"
" *does = doesn't",americanair,sherscott,0,,Houston
" - 6 months ago best catering out of all domestic airlines. Today. Worst on the planet. And I've flown almost all of them",americanair,Aero0729,0,,
" - AA1344 Cancelled Flighted on 2.23 - rebooked on us air 623/544 on 2.24. Has to be a nonstop on 2.24 for us (2)?",americanair,kathyjazztx,0,,
" - And   had a flight from Chicago to Buffalo about an hour before our flight -- do they not care about safety?",americanair,61jr,0,,"St. Catharines"
" - Appreciate your system is busy but when I call. having your automated system hang up on me is not helpful.",americanair,C2Next,1,,"St. Louis. Mo"
" - Can you please give me a travel agent support phone number? I cant find it on your website. Thanks.",americanair,BurkhalterTrvl,0,,"Southern Wisconsin"
" - Envoy Airlines is a disgrace to the AA family.  Nothing but delays and Cancelled Flightlations. week after week.",americanair,nf14jk,0,,
" - Hanging up on customers with no chance for a callback is a failure of customer service. 1:30am EST and no one can answer? 2/2",americanair,wast3gate,0,,"41.301208.-81.750618"
" - I am Platinum.  I am flying USAir and they have stranded me in CLT.  Not answering phones. Did not rebook me.  Please help?",americanair,PDQuigley,0,,"Washington. D.C."
" - I'd be happy to hold on the phone. but your phone system is not allowing that and simply hangs up.",americanair,Rizzilient,0,,
" - Please find my bag!! In Singapore for three days already without my bag. Last known destination LAX Tag: 580815 Please help.",americanair,brownsrock,0,,"Bangkok. Thailand"
" - Reference number to this request: 1-3001408092",americanair,JTWolf7,0,,"Stamford. CT"
" - So does that mean your other flights going into Buffalo from other locations. you don't care about their safety?",americanair,61jr,0,,"St. Catharines"
" - We have: they were useless. Baggage service called before 9 to tell us we would have bags by 3. Now. maybe midnight.",americanair,PhotosBySharon,0,,Massachusetts
" - Whoooo Hooooo just crossed 25.367!!! At my current pace I should reach 152.202 for the year.",americanair,MHS80,0,,
" - answer the phones.  Trying to change a reservation and haven't been able to get a human to pick up in two days.",americanair,Rizzilient,0,,
" - cluster continues-still on connecting instead of direct..bag charged and seats not together.  shafted",americanair,kathyjazztx,0,,
" - cruel & unusual to Cancelled Flight flight w/o notice & make someone stay on hold for 30min & listen to the same ad in a loop",americanair,justinvanbogart,0,,"Charleston. SC"
" - don't be jealous.  I live in Sydney and my T-shirt and jeans don't suit the office for work. I need suits and a warm jacket.",americanair,davejmt,0,,"ÜT: -37.82304.144.961311"
" - don't understand why I have zero Flt info- no email- 2 he wait time on ph lines- so much for Advan Mem :(",americanair,dibs65,0,,
" - for the past 5.5 hours. call volume is so high that no one can take my call to Cancelled Flight my itinerary?  YoureDoingItWrong 1/2",americanair,wast3gate,0,,"41.301208.-81.750618"
" - gold elite loyalty customer..can't count on my hometown preferred airline to do right.  bummed..",americanair,kathyjazztx,0,,
" - how long does it take to get credit to my AA account? Traveled in Jan & only one leg reported. Asked for credit. no response.",americanair,KaiserSnowse,0,,
" - keeping AA up in the Air! My crew chief cousin Alex Espinosa in DFW! http://t.co/0HXLNvZknP",americanair,mrespinosa1971,0,,"Great State of Texas"
" - thanks. She submitted a damaged bag complaint online...is there anything else we can do?  goodcustomerservice",americanair,JTWolf7,0,,"Stamford. CT"
" - trying to track down backs for two of my attendees  help",americanair,amandajames0610,0,,"Atlanta. GA"
" - very upset with my hometown airline. Stuck in Den Flt Cancelled Flightled. Others here with me got new Flt info",americanair,dibs65,0,,
" - where are my bags? Baggage claim C25 or C26 (flt  959)?? I can see the plane from here? Why does it take 25 min???",americanair,bpa76,0,,
" - yep . they've been good.  Now can you make that 1535 flight to mci wait just a tick....😃",americanair,brentblume,0,,Omaha
" - you broke my sick wife's luggage handle going from JFK to LAX...she had to drag her bag thru the airport!  customerservice",americanair,JTWolf7,0,,"Stamford. CT"
" -- This is after you Cancelled Flightled our flight into Buffalo because of ""weather"" and lied to us and said other airlines Cancelled Flightled",americanair,61jr,0,,"St. Catharines"
" --(pt 2) and the AA reservations phone number has been less than helpful. telling me to change things online when I can't.",americanair,natalieabila,0,,
" . CHECK DM PLEASE!",americanair,ThatsKathalina,0,,
" . Death of a dear friend has me heart broken but  AmericanAirlines has me heated!",americanair,thelyandre,0,,"Brooklyn. NY"
" . I was told my flights 2516 & 2244 was Cancelled Flightled. But I don't seem to have any date/time changes. I've been waiting for a call",americanair,ThatsKathalina,0,,
" . sitting on plane for 2.5hrs at gate due to computer sys issue. at what point do you Cancelled Flight a flight?. ridiculous ",americanair,dabatty01,0,,
" .. UMM hello?",americanair,ThatsKathalina,0,,
" ... Do I have to even say anything?  Over 6 hours on hold... No one has ever sucked as much as you. http://t.co/NcrMqIBIWo",americanair,troubledsoul99,0,,"Raleigh. NC"
" .....and they waited 5 hours in a stuffy plane until they could get off then 7 more hrs to get their luggage   AmericanAirlines",americanair,"Jess_JCW",0,,London
" ....I am on attempt  6 and hour  10 of calling and being put on hold.  Not feeling confident that I will ever get through...",americanair,Kaywillsmith,0,,"The City of Big Shoulders"
" ...2/2 doesn't help me.",americanair,ChellyChelly,0,,"Pittsburgh. PA"
" ...have you seen Blue? Go look it up :)",americanair,eec215,0,,"Phila. PA"
" ...is this how you want to treat your platinum (and two gold) flyers??",americanair,bfriend10,0,,Chicago
" ...why would you sell seats for a 7 hour flight with half of the legroom occupied by an escape raft? http://t.co/DTHEyOFXrB",americanair,Chuckwede65,0,,
" 1 ticket agent servicing at least 60 people on line. Waiting for an hour and a half and your phones hang up on people.",americanair,"c_cgottlieb",0,,"Washington. DC"
" 1) I was on 1610 today to YYZ. I had a bit of a bag issue that was cleared up beautifully. Thank you to all of the check in",americanair,WilliamMulock,0,,
" 1-the lavatory freezes. 2- problem with a nitrogen line 3-a low tire with the inflating equipment malfunctioning  AA2444 and...",americanair,"Alexx_B_M",0,,
" 11 out of 11 delayed flights. you suck and getting worse",americanair,ezemanalyst,0,,
" 1138 got us to LGA safely. Thanks for taking the time to make the plane safe before flying!",americanair,ChipAcker,0,,"Dallas. TX"
" 12 calls in the span of two days........none of which available to speak to someone.  You are un F-in believable.  worst ever",americanair,skadott,0,,"san marcos.ca"
